action_id,pair,destroy_selected_customers,actually_unassigned,context_path,adapter_call_count,adapter_output_bundles,native_graph_production_calls,repair_result_category,repair_status,objective,feasible,violations,business_fingerprint,business_baseline_match,ordinary_hard_baseline_match,rng_calls_after_repair,rng_digest_after_repair,active_context_after_repair,checker_calls,objective_calls
0,Random+Global,[12],[12],Ordinary,0,[],0,B,returned,40927.31636113969,False,"[""drone_id drone_0 launch_position 1 is before previous recovery_position 2."", ""timing fixed-point did not converge within 26 iterations."", ""van_0 departs position 1 before recovery_time 2779.606."", ""van_0 position 2 arrival 2723.238 is before propagated recovery arrival 2821.270.""]",819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,True,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {""size"": 1, ""replace"": false}, ""result"": [12]}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,False,1,0
1,Random+Local,[12],[12],Ordinary,0,[],0,B,returned,40927.31636113969,False,"[""drone_id drone_0 launch_position 1 is before previous recovery_position 2."", ""timing fixed-point did not converge within 26 iterations."", ""van_0 departs position 1 before recovery_time 2779.606."", ""van_0 position 2 arrival 2723.238 is before propagated recovery arrival 2821.270.""]",819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,True,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {""size"": 1, ""replace"": false}, ""result"": [12]}, {""method"": ""shuffle"", ""args"": [[12]], ""kwargs"": {}, ""result"": null}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,False,1,0
2,Random+Regret,[12],[12],Ordinary,0,[],0,A,returned,926.3737517924612,True,[],3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc,True,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {""size"": 1, ""replace"": false}, ""result"": [12]}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,False,2,76
3,Random+Cascade,[12],[12],Ordinary,1,"[{""bundle_id"": ""ordinary:random_customer_removal:ed4643286cd2b5da651b:bundle:0000"", ""customer_ids"": [12], ""dependency_order"": [12], ""contract_fingerprint"": ""96a868b48ffd1c69bf499f610101405c1a0e5468768069d22cd149b4cd7a4b20"", ""captured_before_removal"": true, ""affected_route_segment_ids"": [""van:van_0:4-6""], ""drone_subroute_ids"": []}]",0,A,success,927.8802748155612,True,[],56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e,True,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {""size"": 1, ""replace"": false}, ""result"": [12]}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,False,7,4
4,Greedy+Global,[7],[7],Ordinary,0,[],0,A,returned,765.2523175400826,True,[],da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76,True,True,[],6b1deb4fb11923d5a698f8b90d6e2cc7b2e247c417c329dbbdee14e0e1854292,False,1,9
5,Greedy+Local,[7],[7],Ordinary,0,[],0,A,returned,773.1502873365171,True,[],95a1746970f9d4d18841f0261f05f6a4d1783c92923359249b2e1db510aeb933,True,True,"[{""method"": ""shuffle"", ""args"": [[7]], ""kwargs"": {}, ""result"": null}]",6b1deb4fb11923d5a698f8b90d6e2cc7b2e247c417c329dbbdee14e0e1854292,False,1,9
6,Greedy+Regret,[7],[7],Ordinary,0,[],0,A,returned,765.2523175400826,True,[],da4451935d067199fc880bbde649a891258dc027df8b833b3e8bbeaaf9217e76,True,True,[],6b1deb4fb11923d5a698f8b90d6e2cc7b2e247c417c329dbbdee14e0e1854292,False,1,101
7,Greedy+Cascade,[7],[7],Ordinary,1,"[{""bundle_id"": ""ordinary:greedy_removal:d9b7cb4ea50f854b9354:bundle:0000"", ""customer_ids"": [7], ""dependency_order"": [7], ""contract_fingerprint"": ""f8dd51b82ffdd0caf924bd0b20c4a0a02d50bb6b69d25e5100c6e57ba1e7dd51"", ""captured_before_removal"": true, ""affected_route_segment_ids"": [""van:van_0:0-2""], ""drone_subroute_ids"": [""sortie:c88d4fe594e96daf1971a107:0""]}]",0,A,success,791.6393353884779,True,[],b29d4743a67273b3908cd26e1f4a95c634829d3a50aae1cc7596cf5803ee5cb3,True,True,[],6b1deb4fb11923d5a698f8b90d6e2cc7b2e247c417c329dbbdee14e0e1854292,False,12,19
8,Related+Global,[12],[12],Ordinary,0,[],0,B,returned,40927.31636113969,False,"[""drone_id drone_0 launch_position 1 is before previous recovery_position 2."", ""timing fixed-point did not converge within 26 iterations."", ""van_0 departs position 1 before recovery_time 2779.606."", ""van_0 position 2 arrival 2723.238 is before propagated recovery arrival 2821.270.""]",819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,True,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {}, ""result"": 12}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,False,1,0
9,Related+Local,[12],[12],Ordinary,0,[],0,B,returned,40927.31636113969,False,"[""drone_id drone_0 launch_position 1 is before previous recovery_position 2."", ""timing fixed-point did not converge within 26 iterations."", ""van_0 departs position 1 before recovery_time 2779.606."", ""van_0 position 2 arrival 2723.238 is before propagated recovery arrival 2821.270.""]",819471d0e0d8b6a5e0919c5d2b98dc6000308979b41703d6a2df4fb600ad9a76,True,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {}, ""result"": 12}, {""method"": ""shuffle"", ""args"": [[12]], ""kwargs"": {}, ""result"": null}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,False,1,0
10,Related+Regret,[12],[12],Ordinary,0,[],0,A,returned,926.3737517924612,True,[],3f8b9bc597f3be2a267ad88c5a6c2640e877eb395973824a7c40a204956ac7fc,True,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {}, ""result"": 12}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,False,2,76
11,Related+Cascade,[12],[12],Ordinary,1,"[{""bundle_id"": ""ordinary:related_customer_removal:9e23bfadb39f13d752d5:bundle:0000"", ""customer_ids"": [12], ""dependency_order"": [12], ""contract_fingerprint"": ""7e65812a88427b2016dfcb42259f4096cab3b4a560841352bd06b3e8b537ad96"", ""captured_before_removal"": true, ""affected_route_segment_ids"": [""van:van_0:4-6""], ""drone_subroute_ids"": []}]",0,A,success,927.8802748155612,True,[],56db81c7cff8dc3d96bed1d7a8c7d3ebeaffb46ad3b3744f4952dc8b54c10b9e,True,True,"[{""method"": ""choice"", ""args"": [[5, 6, 7, 8, 9, 10, 11, 12]], ""kwargs"": {}, ""result"": 12}]",6d5f81475e1e419dfbf72367d4d3b0ef26a57b5668b320d82f98ba052018cce1,False,7,4
